match_id,season,date,home_team,away_team,result,home_odds,tie_odds,away_odds,avg_pts_home,avg_pts_away,avg_wins_home,avg_wins_away,avg_ties_home,avg_ties_away,avg_losses_home,avg_losses_away,avg_goals_for_home,avg_goals_for_away,avg_goals_ag_home,avg_goals_ag_away,avg_pts_home_at_home,avg_pts_away_at_away,avg_wins_home_at_home,avg_wins_away_at_away,avg_ties_home_at_home,avg_ties_away_at_away,avg_losses_home_at_home,avg_losses_away_at_away,avg_goals_for_home_at_home,avg_goals_for_away_at_away,avg_goals_ag_home_at_home,avg_goals_ag_away_at_away,mom_pts_home,mom_pts_away,mom_wins_home,mom_wins_away,mom_ties_home,mom_ties_away,mom_losses_home,mom_losses_away,mom_goals_for_home,mom_goals_for_away,mom_goals_ag_home,mom_goals_ag_away,mom_pts_home_at_home,mom_pts_away_at_away,mom_wins_home_at_home,mom_wins_away_at_away,mom_ties_home_at_home,mom_ties_away_at_away,mom_losses_home_at_home,mom_losses_away_at_away,mom_goals_for_home_at_home,mom_goals_for_away_at_away,mom_goals_ag_home_at_home,mom_goals_ag_away_at_away
2000076,2000/2001,30/09/2000,West Ham,Bradford,X,1.488,3.54,5.72,0.857142857,0.714285714,0.142857143,0.142857143,0.428571429,0.285714286,0.428571429,0.571428571,1.285714286,0.428571429,1.428571429,1.571428571,0.666666667,0,0,0,0.666666667,0,0.333333333,1,1,0,1.333333333,3,6,2,1,0,3,2,1,3,7,1,5,10,2,0,0,0,2,0,0,2,3,0,3,8
2000077,2000/2001,01/10/2000,Arsenal,Man United,1,2.47,3.09,2.494,1.714285714,2.142857143,0.428571429,0.571428571,0.428571429,0.428571429,0.142857143,0,1.857142857,2.857142857,1.285714286,1,3,1.666666667,1,0.333333333,0,0.666666667,0,0,3,2,1.333333333,1.333333333,9,11,2,3,3,2,0,0,11,17,8,6,6,4,2,1,0,1,0,0,7,5,4,3
2000078,2000/2001,01/10/2000,Chelsea,Liverpool,1,2.1,3.1,3.05,1,1.714285714,0.142857143,0.428571429,0.571428571,0.428571429,0.285714286,0.142857143,1.428571429,1.714285714,1.714285714,1.428571429,1.333333333,0.666666667,0.333333333,0,0.333333333,0.666666667,0.333333333,0.333333333,2,1.333333333,2,2,4,9,0,2,4,3,1,0,6,11,8,8,1,2,0,0,1,2,1,0,2,4,4,4
2000079,2000/2001,01/10/2000,Sunderland,Leicester,X,1.99,3.16,3.21,1.142857143,2.142857143,0.285714286,0.571428571,0.285714286,0.428571429,0.428571429,0,1,1,1.571428571,0.285714286,2.333333333,2.333333333,0.666666667,0.666666667,0.333333333,0.333333333,0,0,1.333333333,1,0.666666667,0,5,11,1,3,2,2,2,0,4,6,7,2,4,4,1,1,1,1,0,0,3,2,2,0
2000080,2000/2001,14/10/2000,Arsenal,Aston Villa,1,1.506,3.45,5.74,1.875,1.714285714,0.5,0.428571429,0.375,0.428571429,0.125,0.142857143,1.75,1.571428571,1.125,1,3,1.25,1,0.25,0,0.5,0,0.25,2.5,1,1,1.25,9,10,2,3,3,1,0,1,7,10,5,6,6,4,2,1,0,1,0,0,3,3,1,2
2000081,2000/2001,14/10/2000,Coventry,Tottenham,1,2.524,3.11,2.414,1,1.375,0.25,0.375,0.25,0.25,0.5,0.375,1,1.375,1.75,1.375,0.25,0.25,0,0,0.25,0.25,0.75,0.75,0.25,1,2,2,2,7,0,2,2,1,3,2,3,7,9,7,1,0,0,0,1,0,1,2,0,3,3,5
2000082,2000/2001,14/10/2000,Everton,Southampton,X,1.852,3.21,3.57,1,1.125,0.25,0.25,0.25,0.375,0.5,0.375,1.375,1.375,1.875,1.5,1,1.25,0.25,0.25,0.25,0.5,0.5,0.25,1.5,1,2,1,4,7,1,2,1,1,3,2,6,5,11,5,0,3,0,1,0,0,2,1,1,1,6,1
2000083,2000/2001,14/10/2000,Ipswich,West Ham,X,2.294,3.13,2.684,1.375,0.875,0.375,0.125,0.25,0.5,0.375,0.375,1.375,1.25,1.25,1.375,1.25,1,0.25,0.25,0.5,0.25,0.25,0.5,1,1.5,1,1.5,7,6,2,1,1,3,2,1,8,6,6,4,1,3,0,1,1,0,1,1,2,3,3,1
2000084,2000/2001,14/10/2000,Leeds,Charlton,1,1.51,3.41,5.66,1.571428571,1.5,0.428571429,0.375,0.285714286,0.375,0.285714286,0.25,1.571428571,1.75,1.285714286,1.625,1.5,1,0.5,0.25,0,0.25,0.5,0.5,2,1.5,1.75,2.5,5,9,1,2,2,3,2,0,7,7,8,5,3,4,1,1,0,1,1,0,5,3,5,2
2000085,2000/2001,14/10/2000,Leicester,Man United,2,3.61,3.21,1.85,2,1.875,0.5,0.5,0.5,0.375,0,0.125,0.875,2.5,0.25,1,2,1.25,0.5,0.25,0.5,0.5,0,0.25,1,1.5,0.5,1.25,11,10,3,3,2,1,0,1,6,15,2,5,4,3,1,1,1,0,0,1,2,3,1,2
2000086,2000/2001,14/10/2000,Man City,Bradford,1,1.73,3.33,3.9,1,0.75,0.25,0.125,0.25,0.375,0.5,0.5,1.25,0.5,1.75,1.5,1,0.25,0.25,0,0.25,0.25,0.5,0.75,1.5,0.25,1.5,2.5,5,2,1,0,2,2,2,3,5,2,6,11,1,1,0,0,1,1,1,1,1,1,2,3
2000087,2000/2001,14/10/2000,Sunderland,Chelsea,1,2.806,3.09,2.23,1.125,1.25,0.25,0.25,0.375,0.5,0.375,0.25,0.875,1.625,1.375,1.5,2,0.75,0.5,0,0.5,0.75,0,0.25,1,1,0.5,1.5,6,6,1,1,3,3,1,1,4,8,6,7,4,2,1,0,1,2,0,0,2,3,1,3
2000088,2000/2001,15/10/2000,Derby,Liverpool,2,3.48,3.16,1.882,0.625,1.5,0,0.375,0.625,0.375,0.375,0.25,1.75,1.5,2.375,1.625,1,0.5,0,0,1,0.5,0,0.5,2,1,2,2.25,3,8,0,2,3,2,2,1,8,8,12,8,2,1,0,0,2,1,0,1,3,1,3,4
2000089,2000/2001,16/10/2000,Middlesbrough,Newcastle,2,2.416,3.1,2.536,1.25,1.625,0.25,0.5,0.5,0.125,0.25,0.375,1.75,1,1.5,0.875,0.5,1.5,0,0.5,0.5,0,0.5,0.5,1,0.75,1.5,1,6,7,1,2,3,1,1,2,9,3,8,3,1,3,0,1,1,0,1,1,2,1,3,2
2000090,2000/2001,21/10/2000,Bradford,Ipswich,2,2.296,3.09,2.71,0.666666667,1.333333333,0.111111111,0.333333333,0.333333333,0.333333333,0.555555556,0.333333333,0.444444444,1.333333333,1.555555556,1.222222222,1.25,1.5,0.25,0.5,0.5,0,0.25,0.5,0.75,1.75,0.5,1.5,2,8,0,2,2,2,3,1,2,8,7,5,1,6,0,2,1,0,1,0,1,5,2,1
2000091,2000/2001,21/10/2000,Charlton,Middlesbrough,1,2.18,3.16,2.826,1.333333333,1.111111111,0.333333333,0.222222222,0.333333333,0.444444444,0.333333333,0.333333333,1.666666667,1.666666667,1.777777778,1.666666667,2,2,0.5,0.5,0.5,0.5,0,0,2,2.5,0.75,1.5,8,5,2,1,2,2,1,2,7,7,7,8,4,4,1,1,1,1,0,0,3,4,2,2
2000092,2000/2001,21/10/2000,Chelsea,Coventry,1,1.42,3.66,6.64,1.111111111,1.222222222,0.222222222,0.333333333,0.444444444,0.222222222,0.333333333,0.444444444,1.444444444,1.111111111,1.444444444,1.666666667,1.75,1.75,0.5,0.5,0.25,0.25,0.25,0.25,2.25,1.75,1.5,1.5,5,5,1,1,2,2,2,2,6,5,6,8,3,1,1,0,0,1,1,1,3,3,2,4
2000093,2000/2001,21/10/2000,Liverpool,Leicester,1,1.506,3.44,5.54,1.666666667,1.777777778,0.444444444,0.444444444,0.333333333,0.444444444,0.222222222,0.111111111,1.777777778,0.777777778,1.444444444,0.555555556,2.5,2,0.75,0.5,0.25,0.5,0,0,2,0.75,1,0,8,8,2,2,2,2,1,1,9,4,7,4,4,4,1,1,1,1,0,0,4,2,3,0
2000094,2000/2001,21/10/2000,Man United,Leeds,1,1.478,3.53,5.64,2,1.75,0.555555556,0.5,0.333333333,0.25,0.111111111,0.25,2.555555556,1.75,0.888888889,1.25,2.5,1.666666667,0.75,0.333333333,0.25,0.666666667,0,0,3.5,1,0.75,0.666666667,10,8,3,2,1,2,1,1,12,9,5,7,4,2,1,0,1,2,0,0,6,1,3,1
2000095,2000/2001,21/10/2000,Newcastle,Everton,2,1.542,3.38,5.4,1.777777778,1,0.555555556,0.222222222,0.111111111,0.333333333,0.333333333,0.444444444,1.222222222,1.333333333,0.888888889,1.777777778,1.75,1,0.5,0.25,0.25,0.25,0.25,0.5,1.25,1.25,0.75,1.75,7,5,2,1,1,2,2,2,4,5,4,9,1,4,0,1,1,1,1,0,0,3,1,2
2000096,2000/2001,21/10/2000,Tottenham,Derby,1,1.488,3.53,5.77,1.222222222,0.555555556,0.333333333,0,0.222222222,0.555555556,0.444444444,0.444444444,1.333333333,1.555555556,1.444444444,2.555555556,2.5,0.25,0.75,0,0.25,0.25,0,0.75,1.75,1.5,0.75,2.75,4,2,1,0,1,2,3,3,5,5,7,13,4,0,1,0,1,0,0,2,1,2,0,6
2000097,2000/2001,21/10/2000,West Ham,Arsenal,2,3.19,3.15,2.01,0.888888889,2,0.111111111,0.555555556,0.555555556,0.333333333,0.333333333,0.111111111,1.222222222,1.666666667,1.333333333,1,0.75,0.75,0,0,0.75,0.75,0.25,0.25,1,1,1.25,1.25,6,11,1,3,3,2,1,0,6,6,4,3,2,2,0,0,2,2,0,0,2,2,2,2
2000098,2000/2001,22/10/2000,Aston Villa,Sunderland,X,1.734,3.28,4.04,1.5,1.333333333,0.375,0.333333333,0.375,0.333333333,0.25,0.333333333,1.375,0.888888889,1,1.222222222,2.333333333,0.25,0.666666667,0,0.333333333,0.25,0,0.75,2.333333333,0.75,0.666666667,2.25,10,8,3,2,1,2,1,1,9,4,4,5,6,1,2,0,0,1,0,1,6,1,1,4
